$ py main_bsc.py ber
334 / 600 回目,  0 0, FSCL: 0.11669 SCL 3.27823
335 / 600 回目,  0 0, FSCL: 0.12569 SCL 3.20143
336 / 600 回目,  0 0, FSCL: 0.12966 SCL 3.29417
337 / 600 回目,  0 0, FSCL: 0.11671 SCL 3.30118
338 / 600 回目,  0 0, FSCL: 0.14560 SCL 3.35703
339 / 600 回目,  0 0, FSCL: 0.12070 SCL 3.50861
340 / 600 回目,  0 0, FSCL: 0.15955 SCL 3.30019
341 / 600 回目,  0 0, FSCL: 0.11370 SCL 3.32311
342 / 600 回目,  0 0, FSCL: 0.12469 SCL 3.22335
343 / 600 回目,  0 0, FSCL: 0.11473 SCL 3.29614
344 / 600 回目,  0 0, FSCL: 0.13068 SCL 3.43378
345 / 600 回目,  0 0, FSCL: 0.11669 SCL 3.34605
346 / 600 回目,  0 0, FSCL: 0.12070 SCL 3.23236
347 / 600 回目,  0 0, FSCL: 0.11571 SCL 3.42585
348 / 600 回目,  0 0, FSCL: 0.12470 SCL 3.34402
349 / 600 回目,  0 0, FSCL: 0.11971 SCL 3.21838
350 / 600 回目,  0 0, FSCL: 0.11870 SCL 3.34804
351 / 600 回目,  0 0, FSCL: 0.19348 SCL 3.25631
352 / 600 回目,  0 0, FSCL: 0.11271 SCL 3.85667
353 / 600 回目,  1 1, FSCL: 0.22839 SCL 3.37397
354 / 600 回目,  0 0, FSCL: 0.14062 SCL 3.32812
355 / 600 回目,  0 0, FSCL: 0.11968 SCL 3.27324
356 / 600 回目,  0 0, FSCL: 0.12269 SCL 3.40287
357 / 600 回目,  0 0, FSCL: 0.11769 SCL 3.33909
358 / 600 回目,  0 0, FSCL: 0.13165 SCL 3.32712
359 / 600 回目,  0 0, FSCL: 0.12664 SCL 3.30719
360 / 600 回目,  0 0, FSCL: 0.12068 SCL 3.37497
361 / 600 回目,  1 1, FSCL: 0.12071 SCL 3.20641
362 / 600 回目,  0 0, FSCL: 0.12267 SCL 3.37397
363 / 600 回目,  0 0, FSCL: 0.11672 SCL 3.27324
364 / 600 回目,  0 0, FSCL: 0.12964 SCL 3.36297
365 / 600 回目,  0 0, FSCL: 0.12869 SCL 3.36000
366 / 600 回目,  0 0, FSCL: 0.11671 SCL 3.28319
367 / 600 回目,  0 0, FSCL: 0.12666 SCL 3.36400
368 / 600 回目,  0 0, FSCL: 0.11669 SCL 3.36597
369 / 600 回目,  0 0, FSCL: 0.11370 SCL 3.33510
370 / 600 回目,  0 0, FSCL: 0.12570 SCL 3.43280
371 / 600 回目,  1 1, FSCL: 0.11769 SCL 3.39694
372 / 600 回目,  0 0, FSCL: 0.13065 SCL 3.45777
373 / 600 回目,  0 0, FSCL: 0.13267 SCL 3.34306
374 / 600 回目,  0 0, FSCL: 0.11570 SCL 3.39388
375 / 600 回目,  0 0, FSCL: 0.12071 SCL 3.37296
376 / 600 回目,  1 1, FSCL: 0.13068 SCL 3.44275
377 / 600 回目,  0 0, FSCL: 0.12866 SCL 3.49464
378 / 600 回目,  0 0, FSCL: 0.16855 SCL 3.44979
379 / 600 回目,  0 0, FSCL: 0.11469 SCL 3.31716
380 / 600 回目,  0 0, FSCL: 0.11671 SCL 3.33408
381 / 600 回目,  0 0, FSCL: 0.11868 SCL 3.34208
382 / 600 回目,  0 0, FSCL: 0.12666 SCL 5.48031
383 / 600 回目,  0 0, FSCL: 0.16556 SCL 3.51559
384 / 600 回目,  1 1, FSCL: 0.11771 SCL 3.32111
385 / 600 回目,  0 0, FSCL: 0.11669 SCL 3.41987
386 / 600 回目,  0 0, FSCL: 0.13963 SCL 3.44578
387 / 600 回目,  0 0, FSCL: 0.11868 SCL 3.32113
388 / 600 回目,  0 0, FSCL: 0.12669 SCL 3.26726
389 / 600 回目,  0 0, FSCL: 0.11272 SCL 3.21939
390 / 600 回目,  0 0, FSCL: 0.11768 SCL 3.41088
391 / 600 回目,  0 0, FSCL: 0.11373 SCL 3.29118
392 / 600 回目,  0 0, FSCL: 0.12666 SCL 3.30016
393 / 600 回目,  1 1, FSCL: 0.13464 SCL 3.41885
394 / 600 回目,  0 0, FSCL: 0.12965 SCL 3.46872
395 / 600 回目,  1 1, FSCL: 0.11771 SCL 3.44475
396 / 600 回目,  0 0, FSCL: 0.12067 SCL 3.28222
397 / 600 回目,  1 1, FSCL: 0.12566 SCL 3.42384
398 / 600 回目,  0 0, FSCL: 0.11968 SCL 3.29319
399 / 600 回目,  0 0, FSCL: 0.12569 SCL 3.47268
400 / 600 回目,  0 0, FSCL: 0.11569 SCL 3.44877
401 / 600 回目,  0 0, FSCL: 0.15159 SCL 3.34405
402 / 600 回目,  0 0, FSCL: 0.11369 SCL 3.36998
403 / 600 回目,  0 0, FSCL: 0.11270 SCL 3.78088
404 / 600 回目,  0 0, FSCL: 0.11968 SCL 3.70409
405 / 600 回目,  0 0, FSCL: 0.13364 SCL 3.39691
406 / 600 回目,  0 0, FSCL: 0.13364 SCL 3.54254
407 / 600 回目,  0 0, FSCL: 0.12267 SCL 3.52058
408 / 600 回目,  0 0, FSCL: 0.11966 SCL 3.35903
409 / 600 回目,  0 0, FSCL: 0.12566 SCL 3.41386
